Datum;BV;;;;;;;;;;
2017-07-30;82.792.351;;;;;;;;;;
2017-07-31;82.792.351;;;;;;;;;;
2017-08-01;82.792.351;;;;;;;;;;
2017-08-02;82.792.351;;;;;;;;;;
2017-08-03;82.792.351;;;;;;;;;;
2017-08-04;82.792.351;;;;;;;;;;
2017-08-05;82.792.351;;;;;;;;;;
2017-08-06;82.792.351;;;;;;;;;;
2017-08-07;82.792.351;;;;;;;;;;
2017-08-08;82.792.351;;;;;;;;;;
2017-08-09;82.792.351;;;;;;;;;;
2017-08-10;82.792.351;;;;;;;;;;
2017-08-11;82.792.351;;;;;;;;;;
2017-08-12;82.792.351;;;;;;;;;;
2017-08-13;82.792.351;;;;;;;;;;
2017-08-14;82.792.351;;;;;;;;;;
2017-08-15;82.792.351;;;;;;;;;;
2017-08-16;82.792.351;;;;;;;;;;
2017-08-17;82.792.351;;;;;;;;;;
2017-08-18;82.792.351;;;;;;;;;;
2017-08-19;82.792.351;;;;;;;;;;
2017-08-20;82.792.351;;;;;;;;;;
2017-08-21;82.792.351;;;;;;;;;;
2017-08-22;82.792.351;;;;;;;;;;
2017-08-23;82.792.351;;;;;;;;;;
2017-08-24;82.792.351;;;;;;;;;;
2017-08-25;82.792.351;;;;;;;;;;
2017-08-26;82.792.351;;;;;;;;;;
2017-08-27;82.792.351;;;;;;;;;;
2017-08-28;82.792.351;;;;;;;;;;
2017-08-29;82.792.351;;;;;;;;;;
2017-08-30;82.792.351;;;;;;;;;;
2017-08-31;82.792.351;;;;;;;;;;
2017-09-01;82.792.351;;;;;;;;;;
2017-09-02;82.792.351;;;;;;;;;;
2017-09-03;82.792.351;;;;;;;;;;
2017-09-04;82.792.351;;;;;;;;;;
2017-09-05;82.792.351;;;;;;;;;;
2017-09-06;82.792.351;;;;;;;;;;
2017-09-07;82.792.351;;;;;;;;;;
2017-09-08;82.792.351;;;;;;;;;;
2017-09-09;82.792.351;;;;;;;;;;
2017-09-10;82.792.351;;;;;;;;;;
2017-09-11;82.792.351;;;;;;;;;;
2017-09-12;82.792.351;;;;;;;;;;
2017-09-13;82.792.351;;;;;;;;;;
2017-09-14;82.792.351;;;;;;;;;;
2017-09-15;82.792.351;;;;;;;;;;
2017-09-16;82.792.351;;;;;;;;;;
2017-09-17;82.792.351;;;;;;;;;;
2017-09-18;82.792.351;;;;;;;;;;
2017-09-19;82.792.351;;;;;;;;;;
2017-09-20;82.792.351;;;;;;;;;;
2017-09-21;82.792.351;;;;;;;;;;
2017-09-22;82.792.351;;;;;;;;;;
2017-09-23;82.792.351;;;;;;;;;;
2017-09-24;82.792.351;;;;;;;;;;
2017-09-25;82.792.351;;;;;;;;;;
2017-09-26;82.792.351;;;;;;;;;;
2017-09-27;82.792.351;;;;;;;;;;
2017-09-28;82.792.351;;;;;;;;;;
2017-09-29;82.792.351;;;;;;;;;;
2017-09-30;82.792.351;;;;;;;;;;
2017-10-01;82.792.351;;;;;;;;;;
2017-10-02;82.792.351;;;;;;;;;;
